Time (s),Voltage (V)
0,4.063844229
1,4.051277305
2,4.046511274
3,4.043001269
4,4.040131626
5,4.037656692
6,4.03545652
7,4.03345918
8,4.03161914
9,4.029901704
10,4.028287684
11,4.026773487
12,4.025318202
13,4.023930703
14,4.022599258
15,4.021317228
16,4.020079136
17,4.018880423
18,4.017718323
19,4.016588436
20,4.01550039
21,4.014415789
22,4.013371855
23,4.012335883
24,4.011339101
25,4.010343824
26,4.00938397
27,4.008425073
28,4.0074975
29,4.006570424
30,4.005671328
31,4.004772516
32,4.003898628
33,4.003025112
34,4.002173749
35,4.001323193
36,4.000501493
37,3.999679792
38,3.998858092
39,3.998037968
40,3.997248706
41,3.996459445
42,3.995670183
43,3.994893202
44,3.994130189
45,3.993367177
46,3.992604164
47,3.991861422
48,3.991121259
49,3.990381097
50,3.989647124
51,3.988927164
52,3.988207205
53,3.987487246
54,3.986780383
55,3.986078473
56,3.985376563
57,3.984677007
58,3.983991348
59,3.983305689
60,3.98262003
61,3.981942687
62,3.981271769
63,3.980600851
64,3.979929933
65,3.979272262
66,3.978614816
67,3.977957369
68,3.977304921
69,3.97665989
70,3.976014858
71,3.975369826
72,3.974738663
73,3.974110505
74,3.973482346
75,3.972854188
76,3.97222603
77,3.971597872
78,3.970969713
79,3.970354879
80,3.969746897
81,3.969138914
82,3.968530932
83,3.967922949
84,3.967314966
85,3.966706984
86,3.966107957
87,3.965517925
88,3.964927893
89,3.964337861
90,3.963747829
91,3.963157797
92,3.962567765
93,3.961983207
94,3.961409396
95,3.960835586
96,3.960261776
97,3.959687966
98,3.959114156
99,3.958540346
100,3.957969146
101,3.957410168
102,3.95685119
103,3.956292212
104,3.955733234
105,3.955174256
106,3.954615278
107,3.954056499
108,3.953511234
109,3.952965968
110,3.952420703
111,3.951875438
112,3.951330172
113,3.950784907
114,3.950239642
115,3.949705267
116,3.949172769
117,3.948640272
118,3.948107774
119,3.947575276
120,3.947042778
121,3.94651028
122,3.945986041
123,3.945465485
124,3.94494493
125,3.944424375
126,3.943903819
127,3.943383264
128,3.942862708
129,3.942348104
130,3.941838777
131,3.94132945
132,3.940820123
133,3.940310796
134,3.93980147
135,3.939292143
136,3.938786724
137,3.938288002
138,3.93778928
139,3.937290558
140,3.936791835
141,3.936293113
142,3.935794391
143,3.935297749
144,3.93480907
145,3.934320391
146,3.933831712
147,3.933343033
148,3.932854354
149,3.932365675
150,3.931877431
151,3.931398292
152,3.930919153
153,3.930440014
154,3.929960875
155,3.929481735
156,3.929002596
157,3.928523457
158,3.92805617
159,3.927590438
160,3.927124705
161,3.926658972
162,3.92619324
163,3.925727507
164,3.925261774
165,3.924796042
166,3.924330309
167,3.923864576
168,3.923398844
169,3.922933111
170,3.922467378
171,3.922001646
172,3.921545201
173,3.921096021
174,3.920646841
175,3.920197661
176,3.919748481
177,3.919299301
178,3.918850121
179,3.918400941
180,3.917951761
181,3.917502581
182,3.917053401
183,3.916604221
184,3.916155041
185,3.915705861
186,3.915260295
187,3.914826287
188,3.914392279
189,3.913958271
190,3.913524263
191,3.913090256
192,3.912656248
193,3.91222224
194,3.911788232
195,3.911354224
196,3.910920216
197,3.910486209
198,3.910052201
199,3.909618193
200,3.909184185
201,3.908762972
202,3.908342945
203,3.907922918
204,3.907502891
205,3.907082863
206,3.906662836
207,3.906242809
208,3.905822782
209,3.905402755
210,3.904982728
211,3.904562701
212,3.904142673
213,3.903722646
214,3.903302619
215,3.902890258
216,3.902483176
217,3.902076094
218,3.901669012
219,3.90126193
220,3.900854848
221,3.900447766
222,3.900040684
223,3.899633602
224,3.89922652
225,3.898819438
226,3.898412356
227,3.898005274
228,3.897598192
229,3.897194351
230,3.896799305
231,3.896404259
232,3.896009213
233,3.895614167
234,3.89521912
235,3.894824074
236,3.894429028
237,3.894033982
238,3.893638936
239,3.89324389
240,3.892848844
241,3.892453798
242,3.892058751
243,3.891663705
244,3.891279273
245,3.890895442
246,3.890511612
247,3.890127782
248,3.889743952
249,3.889360121
250,3.888976291
251,3.888592461
252,3.888208631
253,3.887824801
254,3.88744097
255,3.88705714
256,3.88667331
257,3.88628948
258,3.8859122
259,3.885538879
260,3.885165558
261,3.884792237
262,3.884418916
263,3.884045595
264,3.883672275
265,3.883298954
266,3.882925633
267,3.882552312
268,3.882178991
269,3.88180567
270,3.881432349
271,3.881059028
272,3.880688665
273,3.88032519
274,3.879961716
275,3.879598241
276,3.879234766
277,3.878871292
278,3.878507817
279,3.878144343
280,3.877780868
281,3.877417394
282,3.877053919
283,3.876690445
284,3.87632697
285,3.875963496
286,3.875600021
287,3.875245627
288,3.874891442
289,3.874537258
290,3.874183074
291,3.873828889
292,3.873474705
293,3.873120521
294,3.872766336
295,3.872412152
296,3.872057968
297,3.871703783
298,3.871349599
299,3.870995415
300,3.87064123
301,3.870292754
302,3.869947291
303,3.869601829
304,3.869256367
305,3.868910904
306,3.868565442
307,3.86821998
308,3.867874517
309,3.867529055
310,3.867183593
311,3.86683813
312,3.866492668
313,3.866147206
314,3.865801743
315,3.865459037
316,3.865121889
317,3.864784741
318,3.864447593
319,3.864110445
320,3.863773298
321,3.86343615
322,3.863099002
323,3.862761854
324,3.862424706
325,3.862087559
326,3.861750411
327,3.861413263
328,3.861076115
329,3.860739033
330,3.860409636
331,3.860080239
332,3.859750841
333,3.859421444
334,3.859092047
335,3.85876265
336,3.858433253
337,3.858103856
338,3.857774458
339,3.857445061
340,3.857115664
341,3.856786267
342,3.85645687
343,3.856127473
344,3.855803219
345,3.855481325
346,3.855159431
347,3.854837537
348,3.854515643
349,3.85419375
350,3.853871856
351,3.853549962
352,3.853228068
353,3.852906174
354,3.85258428
355,3.852262386
356,3.851940493
357,3.851618599
358,3.851299231
359,3.850984307
360,3.850669382
361,3.850354457
362,3.850039533
363,3.849724608
364,3.849409684
365,3.849094759
366,3.848779834
367,3.84846491
368,3.848149985
369,3.84783506
370,3.847520136
371,3.847205211
372,3.84689056
373,3.846582559
374,3.846274557
375,3.845966556
376,3.845658555
377,3.845350553
378,3.845042552
379,3.84473455
380,3.844426549
381,3.844118547
382,3.843810546
383,3.843502544
384,3.843194543
385,3.842886541
386,3.84257854
387,3.84227495
388,3.841973104
389,3.841671258
390,3.841369413
391,3.841067567
392,3.840765722
393,3.840463876
394,3.84016203
395,3.839860185
396,3.839558339
397,3.839256494
398,3.838954648
399,3.838652802
400,3.838350957
401,3.838051507
402,3.837755747
403,3.837459988
404,3.837164229
405,3.83686847
406,3.83657271
407,3.836276951
408,3.835981192
409,3.835685432
410,3.835389673
411,3.835093914
412,3.834798155
413,3.834502395
414,3.834206636
415,3.833911271
416,3.833621096
417,3.83333092
418,3.833040745
419,3.83275057
420,3.832460394
421,3.832170219
422,3.831880044
423,3.831589868
424,3.831299693
425,3.831009518
426,3.830719342
427,3.830429167
428,3.830139876
429,3.829854615
430,3.829569355
431,3.829284095
432,3.828998834
433,3.828713574
434,3.828428313
435,3.828143053
436,3.827857793
437,3.827572532
438,3.827287272
439,3.827002011
440,3.826716751
441,3.826432878
