Time (s),Voltage (V)
0,3.774807275
1,3.68710353
2,3.662637544
3,3.645533532
4,3.631926847
5,3.620421911
6,3.610299513
7,3.601219845
8,3.592957723
9,3.585272611
10,3.578083211
11,3.571370456
12,3.56500473
13,3.558938724
14,3.553144298
15,3.547612096
16,3.542283373
17,3.537183804
18,3.532177473
19,3.527398683
20,3.522731062
21,3.518169259
22,3.513784664
23,3.509472255
24,3.50526862
25,3.501181009
26,3.497153395
27,3.493233938
28,3.489388785
29,3.485594043
30,3.481904599
31,3.478259951
32,3.474668812
33,3.471155217
34,3.467676143
35,3.464252934
36,3.46088008
37,3.457535514
38,3.45424376
39,3.450981421
40,3.447742377
41,3.444545947
42,3.441363939
43,3.438202247
44,3.4350612
45,3.431928625
46,3.428808485
47,3.425692724
48,3.422579108
49,3.419464285
50,3.41634634
51,3.41322529
52,3.410091901
53,3.406951384
54,3.403799183
55,3.40063164
56,3.397455423
57,3.394261812
58,3.39105219
59,3.387827655
60,3.384588147
61,3.381331577
62,3.378053448
63,3.374758004
64,3.371445408
65,3.368115747
66,3.36476319
67,3.361388643
68,3.357995259
69,3.354583757
70,3.35115415
71,3.347697282
72,3.344220722
73,3.340725591
74,3.337212436
75,3.333675948
76,3.330113316
77,3.326532198
78,3.322932831
79,3.319314085
80,3.315664313
81,3.3119979
82,3.308312732
83,3.30460738
84,3.300878283
85,3.297126539
86,3.293355442
87,3.289560009
88,3.285743182
89,3.281907544
90,3.278050131
91,3.274170146
92,3.270269519
93,3.266347947
94,3.262404124
95,3.258439061
96,3.254453293
97,3.250444964
98,3.246415254
99,3.242364175
100,3.23829155
101,3.234197438
102,3.230081802
103,3.225944552
104,3.22178574
105,3.217605328
106,3.213403204
107,3.209179406
108,3.204933124
109,3.200664181
110,3.196373375
111,3.192060782
112,3.187725577
113,3.183368155
114,3.178989066
115,3.174586796
116,3.170162441
117,3.165716722
118,3.161246494
119,3.156752562
120,3.152239281
121,3.147700717
122,3.143137073
123,3.138551289
124,3.133940919
125,3.129304992
126,3.124651539
127,3.11997135
128,3.115261919
129,3.110533568
130,3.105779423
131,3.100994491
132,3.096191685
133,3.091361621
134,3.086503662
135,3.081622354
136,3.076713583
137,3.071776503
138,3.066816245
139,3.061826829
140,3.056810898
141,3.051767342
142,3.046694082
143,3.041594612
144,3.036466736
145,3.031302427
146,3.026120242
147,3.020904445
148,3.015652216
149,3.010382231
150,3.005063988
151,2.999728701
152,2.99435609
153,2.988950512
154,2.983510316
155,2.978038087
156,2.972531679
157,2.966990549
158,2.9614141
159,2.9557862
160,2.950150366
161,2.9444534
162,2.938741405
163,2.932966418
164,2.927169935
165,2.921323612
166,2.915439113
167,2.909518936
168,2.903542684
169,2.897545954
170,2.891473835
171,2.885384061
172,2.87922517
173,2.873033673
174,2.866788809
175,2.860490666
176,2.854156232
177,2.847745911
178,2.841315313
179,2.834790129
180,2.82824024
181,2.821612803
182,2.814936242
183,2.808201356
184,2.80139196
185,2.794546323
186,2.787596466
187,2.780620414
188,2.773531464
189,2.766401699
190,2.759185012
191,2.751898189
192,2.744550432
193,2.737080048
194,2.729557482
195,2.721945214
196,2.714229471
197,2.706455165
198,2.698538944
199,2.690545528
200,2.682476516
201,2.674268332
202,2.665953033
203,2.657532142
204,2.649006745
205,2.640329762
206,2.631525028
207,2.622594879
208,2.613536687
209,2.604320908
210,2.594930851
211,2.585389942
212,2.575693185
213,2.565834267
214,2.555730507
215,2.54543999
216,2.534954149
217,2.524263642
